TIMESTAMP,RECORD,AirTC_Avg,RH,T107_C,T107_C_2,WP_kPa,WP_kPa_2,VW_Avg,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,SlrkW_Avg,SlrMJ_Tot,NR_Wm2_Avg,CNR_Wm2_Avg,Rain_mm_Tot,BP_mbar_Avg
2016-07-01,8159.5,15.446,76.67699999999999,-105.37899999999999,-116.30799999999999,-3.694,-3.694,,1.16,252.196,60.11,0.184,1.655,88.274,88.277,0.0,999.0419999999999
2016-07-02,8255.5,13.777000000000001,75.345,-103.54299999999999,-113.425,-3.698,-3.697,,1.4469999999999998,262.118,51.54600000000001,0.221,1.99,100.052,100.09899999999999,0.0,1003.9580000000001
2016-07-03,8351.5,16.019000000000002,70.11,-104.274,-120.10799999999999,-3.694,-3.694,,0.9520000000000001,257.881,52.103,0.22899999999999998,2.063,112.00299999999999,112.00299999999999,0.0,1010.135
2016-07-04,8447.5,16.875,73.882,-101.676,-113.63799999999999,-3.696,-3.695,,0.581,175.843,68.884,0.22399999999999998,2.015,118.52,118.52,0.0,1010.073
2016-07-05,8543.5,16.063,71.857,-101.605,-113.167,-3.695,-3.697,,2.222,280.628,34.830999999999996,0.252,2.27,133.579,133.767,0.0,1009.8439999999999
2016-07-06,8639.5,15.713,70.531,-101.236,-113.62899999999999,-3.699,-3.696,,1.112,268.358,44.335,0.19699999999999998,1.776,94.29299999999999,94.29299999999999,0.0,1015.073
2016-07-07,8735.5,17.665,78.565,-102.103,-116.01700000000001,-3.697,-3.7,,0.722,228.046,79.033,0.162,1.4580000000000002,84.03200000000001,84.03200000000001,0.002,1011.01
2016-07-08,8831.5,18.16,75.068,-101.245,-118.102,-3.694,-3.6910000000000003,,1.629,256.908,52.776,0.244,2.2,136.82299999999998,136.984,0.042,1007.1460000000001
2016-07-09,8927.5,18.711,84.389,-102.79299999999999,-116.39299999999999,-3.697,-3.697,,0.794,186.57,81.465,0.14400000000000002,1.297,76.704,76.706,0.156,1007.323
2016-07-10,9023.5,19.646,75.71,-102.65299999999999,-111.25200000000001,-3.6910000000000003,-3.695,,1.014,231.549,76.502,0.22699999999999998,2.043,125.249,125.256,0.017,998.927
2016-07-11,9119.5,17.29,78.605,-104.866,-116.76100000000001,-3.694,-3.693,,1.629,256.915,51.872,0.179,1.611,93.633,93.693,0.01,997.8439999999999
2016-07-12,9215.5,13.606,86.71700000000001,-104.25299999999999,-113.42200000000001,-3.69,-3.6839999999999997,,1.021,276.303,34.835,0.08900000000000001,0.799,13.561,13.561,0.042,1004.927
2016-07-13,9311.5,13.927999999999999,75.471,-106.139,-115.602,-3.697,-3.7030000000000003,,1.7469999999999999,287.433,25.76,0.193,1.7380000000000002,90.322,90.339,0.002,1010.802
2016-07-14,9407.5,15.511,70.98899999999999,-102.146,-118.337,-3.698,-3.695,,1.6469999999999998,289.54400000000004,27.078000000000003,0.258,2.326,130.901,130.905,0.0,1016.6460000000001
2016-07-15,9503.5,16.162,81.46,-104.51299999999999,-118.074,-3.6910000000000003,-3.6910000000000003,,0.779,253.092,62.744,0.127,1.1440000000000001,62.458999999999996,62.458999999999996,0.002,1017.562
2016-07-16,9599.5,19.601,86.477,-104.00399999999999,-114.031,-3.699,-3.701,,1.074,262.36400000000003,51.596000000000004,0.10800000000000001,0.976,42.972,42.972,0.008,1015.625
2016-07-17,9695.5,20.435,72.266,-100.376,-111.92299999999999,-3.697,-3.6910000000000003,,1.415,270.889,33.709,0.275,2.479,153.79399999999998,153.80700000000002,0.0,1014.635
2016-07-18,9791.5,21.583000000000002,74.773,-101.275,-105.2,-3.696,-3.695,,0.701,233.976,51.893,0.278,2.498,164.58599999999998,164.58599999999998,0.0,1014.323
